model,seed,region,group_dice_nonempty_reference,n_groups_with_nonempty_reference,n_nonempty_reference,n_empty_reference,n_empty_predictions,n_empty_reference_false_positives
qmmf,42,wt,0.8684203694349572,51,66,0,0,0
qmmf,42,tc,0.7533229124383293,51,66,0,0,0
qmmf,42,et,0.6674314661015435,49,64,2,0,2
qmmf,43,wt,0.878060861932175,51,66,0,0,0
qmmf,43,tc,0.7750482808671276,51,66,0,0,0
qmmf,43,et,0.6543556647626,49,64,2,0,2
qmmf,44,wt,0.8754123355179293,51,66,0,0,0
qmmf,44,tc,0.7779227159629898,51,66,0,0,0
qmmf,44,et,0.6658243007406534,49,64,2,0,2
hemis,42,wt,0.8404139368373714,51,66,0,0,0
hemis,42,tc,0.6871592137662103,51,66,0,0,0
hemis,42,et,0.514266862975011,49,64,2,0,2
hemis,43,wt,0.8367266058811648,51,66,0,0,0
hemis,43,tc,0.6871550314115255,51,66,0,0,0
hemis,43,et,0.5216009254768882,49,64,2,0,2
hemis,44,wt,0.8344084498582649,51,66,0,0,0
hemis,44,tc,0.6850331401033534,51,66,0,0,0
hemis,44,et,0.5283002481428649,49,64,2,0,2
no_quality,42,wt,0.8769886747206206,51,66,0,0,0
no_quality,42,tc,0.7903332008727634,51,66,0,0,0
no_quality,42,et,0.6624783006750941,49,64,2,0,2
no_quality,43,wt,0.8772903591840863,51,66,0,0,0
no_quality,43,tc,0.782796217171166,51,66,0,0,0
no_quality,43,et,0.6704384430730359,49,64,2,0,2
no_quality,44,wt,0.8763278935029584,51,66,0,0,0
no_quality,44,tc,0.7884525612791972,51,66,0,0,0
no_quality,44,et,0.6611511802259051,49,64,2,0,2
unet25d,42,wt,0.846214912714528,51,66,0,0,0
unet25d,42,tc,0.7626076223288298,51,66,0,0,0
unet25d,42,et,0.6535769993461913,49,64,2,0,2
unet25d,43,wt,0.8619119326563021,51,66,0,0,0
unet25d,43,tc,0.7668510872008832,51,66,0,0,0
unet25d,43,et,0.6758992256209729,49,64,2,0,2
unet25d,44,wt,0.8548225106228537,51,66,0,0,0
unet25d,44,tc,0.772673662052711,51,66,0,0,0
unet25d,44,et,0.6588940032182942,49,64,2,0,2
