model,metric,mean,seed_sd,ci_low,ci_high,n_groups,n_training_seeds
hemis,outer_macro_dice,0.7071917658903671,0.0059636199725904,0.663344738223783,0.7471355401007364,55,3
matched_moment_fusion,outer_macro_dice,0.80975659538093,0.0032101249361438,0.7762073653789222,0.8392785031552176,55,3
no_consistency,outer_macro_dice,0.8043493287745234,0.0038304853400906,0.7710431408265792,0.8339547551187956,55,3
no_max,outer_macro_dice,0.8065852676095743,0.0032498149227343,0.774167661426061,0.8357075183766043,55,3
no_quality,outer_macro_dice,0.8106182783304998,0.0042470523529741,0.7752714945758101,0.8408592772163288,55,3
no_variance,outer_macro_dice,0.8073097699634705,0.001069171678464,0.7739217703745407,0.8367576351650208,55,3
qmmf,outer_macro_dice,0.8052125649281932,0.0027585884671064,0.7718070460772357,0.8348908589459384,55,3
shuffled_quality,outer_macro_dice,0.8044031217983169,0.000794143006594,0.7676028952482201,0.8360378067071041,55,3
unet25d,outer_macro_dice,0.7864948127197495,0.0105257473884127,0.746879614911747,0.8211668997300592,55,3
hemis,mean_subset_macro_dice,0.5402914925561538,0.0039146171742229,0.4766504609409301,0.6017904037249595,16,3
matched_moment_fusion,mean_subset_macro_dice,0.654805360448463,0.0022598634703113,0.6009949475202947,0.7076907344527629,16,3
no_consistency,mean_subset_macro_dice,0.6441362349269983,0.0051785271841592,0.5912673724569835,0.6963190520248657,16,3
no_max,mean_subset_macro_dice,0.6527893597912652,0.0077358987334049,0.6011376211554825,0.7035864890779882,16,3
no_quality,mean_subset_macro_dice,0.6550805207360281,0.0081027286751071,0.6036991622122615,0.7060020414866179,16,3
no_variance,mean_subset_macro_dice,0.651241973002227,0.0067537040185567,0.6007743700114075,0.7012801850744886,16,3
qmmf,mean_subset_macro_dice,0.6491502778637607,0.0059399884811704,0.5977571119790306,0.6994307684311837,16,3
shuffled_quality,mean_subset_macro_dice,0.6455212447297377,0.0060235014689023,0.594450482439754,0.696403739687941,16,3
unet25d,mean_subset_macro_dice,0.6107285377702709,0.0093398604889561,0.5473377473917874,0.6721582421704789,16,3
hemis,worst_subset_macro_dice,0.2338231064515865,0.0248614908817462,0.1627595378154347,0.3078436684022826,16,3
matched_moment_fusion,worst_subset_macro_dice,0.3591009628937655,0.0106699052839774,0.2783953773274984,0.4445516707244801,16,3
no_consistency,worst_subset_macro_dice,0.339393428827371,0.0082137301548176,0.2583147508557846,0.4252999405204449,16,3
no_max,worst_subset_macro_dice,0.342349883080043,0.013492344827704,0.260354409279343,0.4270832272577274,16,3
no_quality,worst_subset_macro_dice,0.3536920907031382,0.0196574937572997,0.2722516473414035,0.4374573242767722,16,3
no_variance,worst_subset_macro_dice,0.3462466115734886,0.0042388342166628,0.266019007471502,0.4281477062134372,16,3
qmmf,worst_subset_macro_dice,0.340676499339986,0.0183973827305318,0.2600416077187342,0.4247702593755644,16,3
shuffled_quality,worst_subset_macro_dice,0.3246010639034252,0.0322841983223223,0.245042036999379,0.4089609527889773,16,3
unet25d,worst_subset_macro_dice,0.2911703033694957,0.0195603588918233,0.2082614214870822,0.380267928800416,16,3
